cha_id,cha_lib,cha_long,mf1_hd,mf1_debit,mf1_taux,mf1_vit,tc1_temps,couleur_tp,etat_trafic,geo_shape,geo_point_2d
65,Allende I3,130,2021-10-13T17:54:00+00:00,540,6.6,20,24,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.574024861660335, 47.20668557046992], [-1.572913755667011, 47.20689663615776], [-1.572520754931745, 47.206885205094046], [-1.572389074803835, 47.2068029933893]]}","47.2068193708, -1.57319947461"
771,Madeleine I3,177,2021-10-13T17:54:00+00:00,240,2.5,18,36,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.550487099721313, 47.211097771799274], [-1.551606532312431, 47.212499477799525]]}","47.2117986248, -1.55104681602"
134,Pirmil I,269,2021-10-13T17:54:00+00:00,1140,7.45,21,47,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.542995792068997, 47.200379317118795], [-1.541495249737586, 47.19818240758591]]}","47.1992808624, -1.5422455209"
757,Renaud I,225,2021-10-13T17:54:00+00:00,240,2.0,17,48,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.571189548021024, 47.20717182628367], [-1.572208710473379, 47.20640667292961], [-1.57274005345811, 47.20594905748038], [-1.573089428455875, 47.20561215483979]]}","47.2064161213, -1.57215976761"
355,Kennedy P,183,2021-10-13T17:54:00+00:00,360,5.8,21,31,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.549044377079214, 47.21464759759448], [-1.547875458440332, 47.215046100028886], [-1.546958847110666, 47.21547839434094]]}","47.2150340828, -1.54798990851"
5134,Pirmil P,247,2021-10-13T17:54:00+00:00,960,4.95,21,42,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.543293582127764, 47.20014330686192], [-1.541870634771952, 47.19813984550709]]}","47.1991415762, -1.54258210845"
415,Mercoeur,342,2021-10-13T17:54:00+00:00,120,2.0,16,77,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.561514402445581, 47.217839076087635], [-1.561270051137253, 47.217686366958326], [-1.559387058343038, 47.217387849305666], [-1.558800200829348, 47.217044464600974], [-1.558684747998401, 47.21697716711208], [-1.55848329084749, 47.217122248931155], [-1.558542874694209, 47.21727501761383], [-1.558524449845623, 47.21739637079779], [-1.558432338379285, 47.21758728696922], [-1.558228594125032, 47.217763402026705]]}","47.2174384262, -1.55967591643"
139,Bureau I,253,2021-10-13T17:54:00+00:00,240,3.7,16,57,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.563173084909892, 47.20672833578839], [-1.561379448728607, 47.204803675632995]]}","47.2057660057, -1.56227626682"
59,Dos d'Ane I1b,489,2021-10-13T17:54:00+00:00,600,3.9,19,94,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.541495249737586, 47.19818240758591], [-1.541508204087712, 47.19779708063606], [-1.543942982116643, 47.19488051222617], [-1.544797639180716, 47.19455866334159]]}","47.1961735912, -1.54292766615"
5228,Patton P,189,2021-10-13T17:54:00+00:00,960,12.0,20,34,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.546958847110666, 47.21547839434094], [-1.546488778089124, 47.21561599637213], [-1.546269530134772, 47.215683232843716], [-1.545971543153933, 47.21579233305735], [-1.545558525592511, 47.21598579399353], [-1.545360414456086, 47.21615653603896], [-1.545252903501827, 47.216281918950195], [-1.545144990941026, 47.21652701283192]]}","47.2158752633, -1.54595525987"
203,Martyrs I2,256,2021-10-13T17:54:00+00:00,660,5.0,16,57,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.544866641372251, 47.203192149274436], [-1.546235676629507, 47.20530471129997]]}","47.2042484303, -1.545551159"
5039,Orieux I3,229,2021-10-13T17:54:00+00:00,360,4.5,20,42,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.551354003059635, 47.23455302631156], [-1.550534193295696, 47.234862374048184], [-1.549918960568139, 47.23500591036695], [-1.548498597304031, 47.235202376797936]]}","47.2349495564, -1.5499442089"
